text,emotion
i have not used a mobile phone already for a week now i feel the cold sweat and my hands are shaking,anger
i was feeling the cold darkness of winter an angel sent me a ticket to puerto rico,anger
i feel the cold nights thinking of the old nights spent along with you,anger
i'm walking home just now i feel so cold out of a sudden and my nose bleed,anger
i wonder why is that i feel so cold while the other people do not,anger
i feel like some girls are giving me the cold shoulder,anger
i have never been one to take pictures like artistically but im excited to feel the cold fresh air and see some of these homes,anger
i grinned feeling the cold seeping from the ground through my slippers,anger
i began feeling the cold creeping up from my hands and feet until i was shivering every so often and so i decided to get up take one last appreciative look around me and make my way back to catch the train,anger
i even feel cold looking at this man,anger
i am imagining the feel of a cold corpse on my back and icy breath in my ear when suddenly,anger
i feel cold,anger
i didn't feel cold while running but once i was just cooling down i did feel that cold air around me,anger
i shook my head and tried to say wait i could feel a cold sweat break out on my face and the back of my neck,anger
i don t care about anything that i feel no remorse for anything that i am cold bitter and replaceable,anger
i just wanna feel something it's such a cold cold world hello cold world and i can't get out so i'll just make the best of everything i'll never have such a cold cold world hello cold world and it's got me down but i'll get right back up as long as it spins around spins around hello cold world,anger
i feel a cold coming on and could use a nap or two,anger
i woke up super early on the morning of atc feeling cold and panicky,anger
i don t know about you but i love the feeling i get when when my cold feet are warmed by a pair of fuzzy socks and i just feel worse when my hands and he,anger
i was exhausted and i had that headache and scratchy throat feeling that usually portends the onset of a cold,anger
i literally could not feel my toes and don't think i've ever been so cold in my life we got slammmed with snow,anger
i think the rain has stopped but i'm still feeling cold,anger
i love feeling my nose cold i love to wear sweaters capes tights and boots,anger
i did as well as slacks and winter boots but could still feel the cold,anger
i'm thinking cold or flu it may even be a sinus thing but it feels more cold flu like,anger
i feel a cold coming on best avoid the alcohol i hate hangovers enjoy yours i don't want to make a fool of myself i have a big day night out tomorrow and want to save myself for it i'll be selecting one of these or something similar over the festive period,anger
i couldn't feel the cold or something it was like i was heated from the inside,anger
i am getting a little better each day but i am feeling the effects of this cold,anger
i still remember i holf your hand and rub your hand because you feel cold i still remember we didn t sms each other for a week i still remember you told me that you can t find back the feeling already,anger
i feel they can be thought of as cold and hot or poker face and paroxysm,anger
i feel the cold colours reflect well october,anger
i feel cold,anger
i'm sitting in front of the oven looking through the door at the bread i attempted to break or the feeling of the cold wet sand beneath my feet,anger
i started feeling a cold coming on,anger
i'm really feeling like winter's already here because it's so cold all the time already,anger
i'm feeling really cold lonely and i need to be pampered,anger
i don t feel like i have a cold i just feel sick,anger
i feel it in my bones when the cold northwinds blow but when you put your arms around me i can feel it no more i've been guilty of a thousand crimes in matters of the heart but just the thought of losing you tears me apart,anger
i could feel was cold earth and the deep silence,anger
i shouldn't feel as cold as winter winds over something that's my fault except to myself,anger
i found i like the feel of the cold november rain,anger
i feel like i have a cold coming in and i'm glad those elections are ending tonight,anger
i was starting to feel the cold too,anger
i want to feel my face and fingers freeze up from the cold and go numb,anger
i started feeling really cold but my palms were sweating,anger
i didn't go today either b c i feel like poo remember: abby has a cold too and the dr,anger
i feel cold,anger
i really feel that hats keep you so much warmer during the cold months,anger
i walked around my yard and even got down by the waterside of the lake i live by i couldn't feel my fingers it was so cold,anger
i start i really am sympathetic colds are annoying because you feel totally rubbish and then you realise that at the end of the day it is just a cold which doesn't help at all,anger
i sweating and feeling cold at the same time,anger
i dey feel cold abies managed to reply at last but instantly resumed the battle for her health,anger
i feel cold just looking at those people,anger
i'm almost feeling cold,anger
i reach around and feel something cold: steel,anger
i'm home i can feel how the cold has seeped into my arms and legs,anger
i feel like it's damn cold lol like there's cold wind lightly blowing towards me and i asked everyone else and they're not cold,anger
i feel cold piling coats pull away the collar coat i feel heat,anger
i read the text message he send for me i almost can feel the cold in those every word he wrote,anger
i was actually feeling very cold all day and decided to warm up with some chili cornbread and pumpkin cookies,anger
i woke up feeling really cold,anger
i can't possibly use words to describe it because by thinking about it it only makes me feel cold again,anger
i feel cold though everything burns inside me,anger
i gathered that it must feel like extremely cold,anger
i can feel the cold breeze through the air conditioning vents,anger
i'm on the trek feeling cold tired and lonely,anger
i'm feeling cold and next i love the feel of your smooth skin next to mine please take your clothes off,anger
i remember going thru an aid station and feeling cold chilled,anger
i guess the idea is to still feel a little cold in whatever you're wearing,anger
i am feeling cold konsenan kreyol,anger
i remember last year when the weather started feeling cold,anger
i've never told my mum in depth how i feel she knows the cold hard facts from when i got bad before: self harm thoughts of suicide suicide attempts not sleeping not getting up not doing anything hating myself,anger
i hate the feeling of stepping out of bed with cold bare feet and onto the unforgiving cat hair covered carpet in my room,anger
i feel it was cold,anger
i couldn't really complain about how i was feeling going into the race the cold had cleared up pretty completely and the only thing i could really moan about was a slightly sore lower back muscle maybe too much carrying leo around maybe from the massage from mia adjustment from bj rn,anger
i can still feel the cold of the outdoors on his jacket as i lean into him a little and neither one of us says a word,anger
i are now seriously feeling the effects of allergies cold or whatever and have just felt yuck lately,anger
i don t know about you but i love the feeling i get when when my cold feet are warmed by,anger
i feel so cold and long for your embrace i keep crying baby please,anger
i feel cold i said,anger
i feel cold i said i have a towel it might help he offered,anger
i started to feel cold,anger
i focused on using qi gong breathing techniques because i am super sensitive to energy i could feel the cold air flowing out of the bottom of my feet,anger
i feel cold,anger
i hope like crazy that i stop feeling so freaking cold all the time,anger
i didn't end up feeling cold at night,anger
i'm feeling really cold lonely and i need to be pampered,anger
i'm feeling the cold these days,anger
i could only feel the cold tiles of the bathroom floor on my feet and the toilet seat on my thighs,anger
i feel cold inside,anger
i do know how it feels: cold,anger
i do kind of feel like a cold may be coming on but i've also read that when you detox from sugar you can often experience drainage in the throat much like you get when you're sick and it is your body finding ways to expel the toxins,anger
i keep feeling cold need heating and thick jumpers and the weather is now getting worse to make things escalate even more,anger
i not a future nstory to be told nwhen telling would ya nbegin to feel cold,anger
i not a future story to be told when telling would ya begin to feel cold,anger
i'm feeling very cold and have a migraine right now,anger
i do not believe in feeling the cold,anger
i wish i could dance swing then i definitely feel no cold,anger
i do love waisted clothing as there is a comfy firm secure feeling about being hugged at the waist and i don't like a cold gap over my hips,anger
i just feel like this cold heartless girl who is playing with someone's feelings,anger
i desire to go to peak of a mountain when people think that i am not well and would die in a few days or hours time i wish to stand there feeling the cold breeze with the one whom i will share my life and say nothing and let the smile and eyes speak,anger
i swim in the ocean all year round and delight in diving under the waves to feel the cold water over my head only to resurface amongst the bubbles of the backwash squealing in childish joy,anger
i hate feeling cold i hate not being able to feel my fingertips and nose i hate having to do things outside when it's cold,anger
i feel cold in my affections towards christ,anger
i feel this film falls for some reason david spade does not play the role of sarcasim car but dennis miller and it is not cold david spade is because sarcasm with the best of the best,anger
i had been feeling a cold coming on for three days but it hit me hard on friday,anger
i did in april and how i couldn t feel my feet until the run because the water was so cold,anger
i couldn't get in the shower fast enough and if my body was out of the range of the water i would begin to feel cold,anger
i feel cold all of the time,anger
i sit around in an overheated house i feel the cold almost though not quite as easily as the fussbudgets who flap and squawk when they see me walking around without heavy winter gear,anger
i feel it's cold and it's early and i know its going to be muddy,anger
i know dustin was because he had been feeling like he was going to get a cold,anger
i struggle to fit in with the world because i feel it is a cold and indifferent place full of misunderstanding and hurt and i actively fight against that,anger
i can feel the cold pressing at the other side of those doors like a presence,anger
i wrap one arm around my head to protect my ears and feel myself start to shrivel up from the cold i m glad silas has his back to me,anger
i have to do in order to vanquish the feeling of being cold is hop into a hot shower,anger
i finally understood why bears do not feel cold,anger
i got to the barn this morning the doors were all open and there was just enough of a breeze for it to feel really freakin' cold,anger
i feel the coming of the cold and look forward to our escape as much as we don't look forward to the packing,anger
i feel kind of like i might catch a cold if i'm not careful,anger
i started feeling a cold coming on,anger
i wake up this morning and feel like i have a cold,anger
i feel like i can 180 t be myself and eveythime when i think now it 180 s been long enough and i go in for some love i still get dissapointed by receiving a cold shoulder most of the time,anger
i started feeling horribly cold,anger
i feel cold and frozen,anger
i hope the feeling stays but with the cold weather comes me wanting to just stay bundled up in my house and not leave until march,anger
i'm feeling cold and alone i guess i'm lucky i smile a lot but sometimes i wish for more then i go,anger
i think she's feeling the cold,anger
i feel like when it's cold out there is so much that can be done turn the heating on grab a jumper or a blanket or a hot chocolate,anger
i can feel his breath as he's sleeping next to mesharing pillows and cold feethe can feel my heart fell asleep to its beatunder blankets and warm sheets if only i could be in that bed againif only it were me instead of her does she watch your favorite movies,anger
i feel like i m getting whiter in cold places though there is no scientific relation to that whatsoever,anger
i feel my way along the cold stone wall unable to see what's coming next,anger
i started to feel a cold sensation in my lower back where he told me to place my hand,anger
i feel cold at all my fingers,anger
i feel cold can get hold of me a little,anger
i feel cold spots all the time my grandma s the same way and says i ve inherited the gift from her,anger
i feel a cold coming on and i need to get some rest,anger
i was rudely awoken by the feel of cold water dripping on my head when i'd woken up enough to actually see what was going on i realized that it was the ceiling that was dripping,anger
i'm still feeling cold,anger
i put it on it soaks my body and the cooling effect when riding is simply amazing you actually feel cold for the first few miles,anger
i feel like he is going to die of dehydration before the cold gets him,anger
i could run forever the feeling of the cold biting at my hands and my nose and while these things remain the same in their uncomfortable way they are familiar and sometimes familiarity feels great,anger
i feel some of it is because of the cold that is barreling toward me at break neck speeds the rest of it though is my depression rearing it's ugly head,anger
i think i feel of having a cold is coming,anger
i think i'm still going to want another coat that's a bit longer just for a bit of extra warmth when it gets colder i have a feeling this winter's going to be really cold but i am super happy with this one,anger
i was happy to feel cold and see leaves falling,anger
i need a guy who can care for me when i am sick when i feel cold he would give me a warm hug he can accompany me every time i want to go anywhere he would hold my hand everywhere we go he don't have to said i love you this word because i want him to said i always be at your side forever and ever,anger
i feel like i m going cold turkey off travelling,anger
i woke up feeling so cold and my lips acid,anger
i started feeling really cold,anger
i could be feeling this way from the cold medicine i've been taking for this chest sinus cold,anger
i can feel it working as i use it it takes on a kind of cold feeling and when i rinse it off my skin feels so clean and moisturised without any residue,anger
i love the feel of the cold water too,anger
i feel your cold hands over my skin i taste your lack of empathy driving me to madness lick my flaws tell me how much you want me as i see the lust within your caved in eye sockets and it somehow fuels my desires,anger
i feel so cold,anger
i can just see the river bed small the dust of the boulders feel the cold clear water on my toes,anger
i was still not feeling 100 skinky cold was still with me,anger
i was all better before i knew it without the weird jittery feeling i get when i take cold medicine,anger
i was already soaking wet but i didn t feel cold,anger
i went with a bright orange theme and i'm not sure if it was me subconsciously trying to channel a summery feeling amidst the cold or if i was hoping that by starting the holidays on a bright colour would mean that i am still feeling bright and cheery by the end of the holidays,anger
i feel cold about it,anger
i know this would make her cold but she would rather feel the cold and i respecat her choice knowing that her sensory overload was a factor,anger
i feel the cold of the stone against me,anger
i woke up cold got out of the shower feeling cold even dried my hair feeling,anger
i remember hearing my drink crash to the floor and feeling the cold sticky liquid splash on my legs,anger
i can't wait to fall asleep to the sound of the waves amp wake up to do the cross word amp feel all cold amp salty from the sea,anger
i feel the cold air on my shoulders and i start to feel better,anger
i've been feeling a cold coming on and just run down so i thought i'd ease back into hill training and not go for 5k pace or 4 hills,anger
i love the feeling of cold and snuggle up in my bed,anger
i did notice i was really starting to feel the cold,anger
i feel cold and hard,anger
i lay there on the road curled in the recovery position feeling the cold rain falling on me being so grateful for the my ground effect jacket that was stopping the water from soaking me and my new thick long chalkydigits jersey that was keeping me warm,anger
i didn't feel cold,anger
i feel something cold and i reach out grabbing at the darkness searching for the familiar presence,anger
i feel like i'm getting a cold or something,anger
i feel a cold flush running through my hair a href 'http: ejstylefashionblog,anger
i feel cold amp hot,anger
i really feel freezin' cold even with my coat on but i am pretty sure my little baby's lovin' the coldness of the day,anger
i feel a cold coming on becky what is that recipe for the feel better smoothie,anger
i feel like i caught a cold,anger
i feel so cold a href 'http: irish2012,anger
i feel so cold,anger
i let out a shiver but i didn't feel to cold,anger
i am feeling like a cold bucket of water has been thrown at my face i am experiencing true grief which conflicts with my right to be happy,anger
i feel like i'm wading through cold molasses on very hot days but i decided i could get upset about this or i could consider it a game of scavenger hunt with the prize being a daughter on the other end,anger
i hurt his feelings very much and we went through a bit of a cold war,anger
i feel a bit cold inside,anger
i feel like i am constantly just a few degrees too cold and there is nowhere to go to warm up,anger
i feel like when you go cold turkey and just give up something that you're used to your bound to have issues of some kind,anger
i also find that if you're feeling cold then get out the broom and scrubbing brush some vinegar and old newspapers and give the house a going over,anger
i do not need the ocean to make my feet feel this cold and i do not need it to feel others things either,anger
i want a word that describes the feeling that you get a cold sick feeling deep down inside when you know something is happening that will change you and you don't want it to but you can't stop it,anger
i feel cold,anger
i feel so cold,anger
i feel the cold an uninsulated bathroom lets talk 32 degrees last winter inside the bathroom no insulation we have found at several different times the wiring has been burnt and by gods grace our home didn't burn down,anger
i'm feeling the cold temperatures up in the mountains and hence am wearing leggings under my trackpants again,anger
i complain about quite frequently so i feel him when he says i m finding it a challenge just to listen to the blisterin cold spittin of the talentless division,anger
i am feeling cold but a nice cold this is i am feeling happy and i am feeling sad,anger
i i will start off by complaining again first off i have a cold : i went all winter fine and now that its summer im sick but sadly it doesnt feel like a cold that will kill me,anger
i also remember always wanting fresh air but then i'd feel so cold i'd want the heat on,anger
i'll walk into my bedroom and smell the damp and feel the cold mugginess and it'll immediately bring me back to last year complete with nausea and all the feelings attached with how sick i felt on chemo,anger
i can't help it but feel cold in me,anger
i could feel the wind blowing it was so very cold,anger
i feel the cold on my face when she yells mommy look this is how you do six and half with your fingers,anger
i bang on the door yearning for it to be opened so that i can feel the blast of cold air on my face,anger
i feel like i'm going to die because it felt very cold and my nerve weren't uncontrolled,anger
i apologise if this is not some sappy generic typical blogpost about how sad i feel leaving my cca etc this is the cold hard truth these are entirely my heartfelt feelings,anger
i look it i feel like its a bit cold in winter,anger
i feel so cold hearted by it all,anger
i get very dazed and weak feeling and i get cold sweats,anger
i feel her cold breath again,anger
i feel his cold cold stare pierce into my skin,anger
i feel like i have a chest cold coming on,anger
i don t know why i am feeling cold in my salwar,anger
i think about it more i have been feeling symptoms of a cold and headaches for the last couple days,anger
i am feeling the cold,anger
i swear i could feel her so cold from how she replies my im's and i end up frustrated for a few days and i would ask her if i said something wrong and every single time she would say are you nuts,anger
i feel cold before,anger
i won't feel cold and i miss you everytime i think of you this scarf that i knit for you i'm holding it alone tonight if there were an eternally falling snow this feeling i have for you could i hide it,anger
i feel a blast of cold as the freezing air and rain sweeps in from the outside,anger
i feel cold and fatigued but i have no other symptoms,anger
i can feel the ice cold water freezing my insides especially coming in through the bottom of my feet and the numbness starts,anger
i woke up at 6:30 today feeling quite cold and lounged around in blankets for awhile chatting with my sleepover buddies before going to the bathroom and getting ready for the day,anger
i am not feeling too goo think i am getting a cold,anger
i'll switch to tea in the morning when i feel a cold coming on but i really enjoy coffee,anger
i know that it was not only the mind that was unwilling i feel a cold insight,anger
i've been feeling the cold,anger
i hate the feeling of the cold lining on my skin and how the wind goes up the sleeves,anger
i could totally feel it moving through my body causing a bit of a cold pain,anger
i often wonder if there is an afterlife after all i'm middle aged and though not obsessed with death i sometimes feels a cold shadow fall across me,anger
i've had what feels like a cold for a little over a month now,anger
i could feel cold everywhere,anger
i sat in there for 15 20 minutes before the water started to feel cold,anger
i have a feeling he was cold since he had slept on top of the covers that night,anger
i keep waking up at five in the morning without any alarms and without any reason other than feeling a little cold,anger
i hate feeling cold but i hate feeling hot,anger
i start feeling like i could stay under that spray of cold water all day,anger
i was feeling cold towards to my partner although i didnt think i presented that way i felt like i had to fake my feelings for him and that i didnt love him anymore,anger
i woke up feeling like crap i really hope i'm not getting the cold bug that's been going around the house but i feel like i've got it,anger
i like to feel a little bit cold,anger
i imagine this is probably how it might feel there's a feeling of cold and warm emptiness,anger
i feel a little cold or a little empty regardless of what i ve eaten it doesn t tend to feel so good,anger
i feel i'm cold and i'm ashamed,anger
i write this very moment i feel the cold chill of death,anger
i write this very moment i feel the cold chill of,anger
i feel the cold terrribly,anger
i am feeling so cold,anger
i can t complain after a week feeling cold hot for me it s just fine,anger
i feel like a cold selfish bitch,anger
i get that stupid feeling as if a cold or something is about to start the achey neck,anger
i feel the cold breath of death on my neck,anger
i feel the cold i still love wet winter days and you can't complain when your morning starts like this,anger
i feel so cold,anger
i wish one day i won't feel so cold and alone to have a bit more confidence that things will work out and just smile on through the pain,anger
i'm feeling cold and alone i guess i'm lucky i smile a lot but sometimes i wish for more than i've got,anger
i am feeling cold an electric heater throws welcome heat on my face i cross my arms as if in embrace the shivering stops i feel empty,anger
i wrote an update on fabio he had had his 3 month check up and although everything was generally fine he still had a few issues he had to deal with such as lack of flavour and appetite dry mouth feeling of being cold breathing issues and difficulty in regaining the weight that he had lost,anger
i may be embarrassed when the weather gets a little cooler or i feel cold amp it's blatantly obvious that i only have one nipple,anger
i felt his real feelings toward me cold ice,anger
i suggested greys and blues with warm tones as the room is north facing and could feel quite cold and flat,anger
i said what's it going what's it gonna be make me say oh what's it going what's it gonna be i'm feeling so cold but they won't but they won't believe me,anger
i go higher and i say oh and oh i go higher this head i hold is so tired and i say oh now i go higher and i said what's it going what's it gonna be make me say oh what's it going what's it gonna be i'm feeling so cold but they won't but they won't believe me,anger
i feel the cold,anger
i was feeling cold may be because of getting drenched in rain but i was fine,anger
i start feeling cold,anger
i'm given opportunities to feel things cold,anger
i will definitely be trying them next time i feel a cold coming on,anger
i will not grumble about how i feel or complain about the heat cold imaginary aches and pains,anger
i won't be feeling cold there and i've included pictures of the places i'm going to visit in my list,anger
i can't sleep well without feeling that it's cold enough to wrap my skin and bones around my blanket until the next day,anger
i want more at 3 am than to peel the covers off my sopping wet body gross amp run to the refrigerator just to feel the cold air,anger
i woke up feeling cold and my stomach was hurting even more,anger
i can feel her breath as she's sleeping next to mesharing pillows and cold feetshe can feel my heart fell asleep to its beatunder blankets and warm sheets if only i could be in that bed againif only it were me instead of him does he watch your favorite movies,anger
i have developed what feels suspiciously like a cold and with help from the wonderful acoustics of our dome shaped stone bedroom poor c does not get much sleep,anger
i drove the kids to school came home and got a cuppa tea after getting the fire going as i was feeling so very cold,anger
i was feeling so cold yet the sun was blazing hot,anger
i love never really feeling cold but walking for any distance results in me becoming a sticky smelly mess,anger
i am feel cold and scared not knowing this,anger
i'm feeling cold,anger
i can feel the cold air,anger
i was in ny and the temperature was lower than this it didn't feel as cold due to the buildings i suppose,anger
i am incapable of feeling cold and lost i need help,anger
i'm feeling so cold now i went to the store and got all soaked,anger
i could feel the wind blowing it was so very cold,anger
i feel a cold coming on,anger
i am feeling the cold,anger
i started feeling a chest cold,anger
i feel cold it is in fact summer here it is hard to imagine how cold it gets in winter around these parts 35 to 40 degrees c is not uncommon,anger
i swear when i wanted to tell him my heart was beating so fast and i can feel that my hands were cold,anger
i run ahead feeling the cold night wind in my fur,anger
i feel the cold a lot since i have become disabled so pile on the jumpers pullovers,anger
i feel cold also,anger
i have to admit that sometimes i feel a bit left out in the cold because he can act like a teenager too,anger
i told them that i could feel the cold and heat and they were shocked i didn't raise my hand,anger
i could feel more and more cold creep up,anger
i feel something too cold or warm too much pressure or any pain at all i should raise my hand,anger
i checked my depth when i started feeling cold and was at 29',anger
i hung on to my jacket until about 5 minutes before the race but my fingers and hands took about twenty minutes before i got any feeling into them and the air was so cold it made my lungs hurt,anger
i might be feeling cold but i can cover up and keep warm,anger
i didn t feel cold either,anger
i don t know about you but i feel the cold like shards of glass against my skin,anger
i ice skate a lot i probably only ice skate at most 10 times in my entire life and that i m so pro skater but i miss the feeling of cold air brushing across your face as you skate,anger
i feel so cold,anger
i am able to move a soul to a happier place bring a smile to a frowning face and warm a heart that is feeling cold then i will have reached my goal,anger
i now understand very well how an employee would feel because of the work i caught cold and fever when i reached at home that night which led me to skip two classes on the next day,anger
i use this quilt a lot when i'm reading and feeling a bit cold,anger
i am feeling cold for some random reason,anger
i'd buy an ice cold bottle of orange juice and chug a lug it feeling the cold liquid running down my cheek,anger
i feel cold,anger
i feel nothing but the cold clinging to me,anger
i'm feeling or whether i'd like a cold beverage,anger
i am feeling the cold,anger
i can feel something cold and sticky on her,anger
i cried hard at the feel of his cold hand at my cock the feather like touches making me utter little pleads,anger
i really feel the cold and though it's meant to be june i am freezing i'm typing this post wearing 2 jumpers,anger
i feel i'm cold and i am shamed lying naked on the floor,anger
i am not a very emotional person nor do i show my feelings to anyone so at times people tend to see me as a cold person but what they didn t know is that i m just too passionate about a lot of things especially love but am just too damned scared to show my feelings to anyone,anger
